#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
267,Yes,female,20,Hebron,university,Married,"Personal history, friends/relatives , study",Yes,Yes,Not sure,Yes,no,"infection, cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
268,Yes,female,20,Hebron,university,single,friends/relatives ,no,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,no,no,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
269,Yes,female,22,Hebron,university,single,friends/relatives ,Yes,Not sure,no,Not sure,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes
270,Yes,female,19,Hebron,university,single,study,no,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,no,no,Yes,no,no,Not sure,no,Yes,no,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes
271,Yes,female,19,Hebron,university,single,study,Yes,Yes,no,Not sure,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,Not sure,no,Yes,no,Yes,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
272,Yes,female,19,Hebron,university,single,study,no,Not sure,Yes,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,no,no,Not sure,Not sure,no
273,Yes,female,22,Hebron,university,single,study,no,Yes,no,Not sure,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
274,Yes,female,22,Nablus,university,single,friends/relatives ,Yes,Yes,no,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Not sure,no,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes
275,Yes,female,22,Qalqeliah,university,single,"study, others",no,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Yes
276,Yes,female,22,Hebron,university,single,"study, others",no,Yes,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
277,Yes,female,22,Hebron,university,single,study,no,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
278,Yes,female,22,Hebron,university,single,others,no,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Not sure,no,Yes,Yes
279,Yes,female,22,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,no,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
280,Yes,female,22,Hebron,university,single,study,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure
281,Yes,female,22,Tubas,university,single,study,no,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
282,Yes,male,51,Tubas,university,Married,friends/relatives ,Yes,Yes,Yes,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
283,Yes,female,20,Tubas,university,single,study,Yes,Not sure,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
284,Yes,female,31,Tubas,university,single,friends/relatives ,Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Not sure,Not sure,Not sure,Not sure,no,Not sure,Not sure,Not sure,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes
285,Yes,female,22,Tubas,university,single,"study, media",no,Yes,Not sure,no,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
286,Yes,female,45,Tubas,high school,Married,Personal history,Yes,Yes,no,Not sure,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Not sure,Not sure,no,Yes,Yes,Yes,Not sure,Not sure,Yes,no,Yes,no,no,Yes,Yes,no
287,Yes,female,29,Tubas,university,Married,friends/relatives ,Yes,Yes,Yes,Yes,Yes,decreased blood supply to the joint,no,Yes,Yes,no,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
288,Yes,female,22,Tubas,university,single,friends/relatives ,Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,Yes
289,Yes,female,22,Tubas,university,single,media,no,no,no,Yes,Yes,"decreased blood supply to the joint, crystal accumulation in the joint",Not sure,Yes,Yes,no,no,Yes,Yes,no,no,Yes,Yes,no,no,Yes,Yes,no,Yes,no,Yes,no
290,Yes,female,24,Tubas,university,single,friends/relatives ,Yes,Yes,Not sure,Yes,Not sure,nerve compression near the joint ,no,Yes,Yes,no,Not sure,Not sure,Not sure,no,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes
291,Yes,male,22,Tubas,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,no,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes
292,Yes,male,22,Tubas,university,single,"study, healthcare",no,Yes,no,Not sure,no,"infection, cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Yes,Yes
293,Yes,female,21,Tubas,university,single,study,no,Yes,no,no,Yes,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Not sure,Not sure,no,Not sure,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
294,Yes,female,28,Tubas,high school,Married,friends/relatives ,no,Yes,Yes,Yes,Not sure,"infection, decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,no,Yes,Yes,no,Yes,Yes,no,Yes,Not sure,Yes,no,Not sure,Not sure,no,no,Yes,Yes,Not sure,Yes
295,Yes,female,20,Tubas,university,single,study,no,Yes,Yes,Not sure,Not sure,crystal accumulation in the joint,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,no,no,Not sure,Not sure,Yes,no,no,Yes,Yes,Not sure
2956,Yes,female,31,Tubas,university,single,study,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,no,no,Yes,no,Not sure,Yes,Yes,no,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,no
297,Yes,female,60,Tubas,university,Married,study,Yes,Yes,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,no,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,no
298,Yes,female,34,Tubas,university,single,Personal history,Yes,Yes,no,no,no,crystal accumulation in the joint,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Yes,no,Not sure,Yes,Not sure,no
299,Yes,female,32,Tubas,university,single,friends/relatives ,no,Not sure,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,no,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
300,Yes,male,21,Jerusalem,university,widow,study,no,Yes,Not sure,Yes,Yes,infection,Yes,Yes,Not sure,no,no,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
301,Yes,female,19,Tubas,university,single,study,no,Not sure,Not sure,Not sure,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Not sure,Not sure,Not sure,Not sure
302,Yes,female,21,Tubas,university,single,study,no,Yes,Not sure,no,Yes,"decreased blood supply to the joint, nerve compression near the joint ",no,no,Not sure,no,Not sure,no,Yes,no,Yes,Yes,Not sure,no,Not sure,Yes,Yes,Yes,Yes,Yes,no,Not sure
303,Yes,female,29,Tubas,university,Married,study,no,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Not sure,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
304,Yes,male,20,Salfeet ,university,single,study,no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure
305,Yes,male,20,Salfeet ,university,single,study,no,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure
306,Yes,female,22,Tubas,university,single,healthcare,Yes,Yes,no,no,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,Not sure,Not sure,no,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes
307,Yes,female,20,Tubas,university,single,"friends/relatives , media",no,Not sure,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Yes,Yes,no,no,Yes,no,Not sure,Yes,Yes,Yes
308,Yes,female,19,Qalqeliah,university,single,study,no,Yes,no,Yes,Not sure,nerve compression near the joint ,Yes,no,Not sure,Not sure,Yes,Yes,Yes,no,Not sure,Yes,no,no,Yes,Yes,Yes,no,Yes,Yes,no,no
309,Yes,female,27,Tubas,high school,single,friends/relatives ,Yes,no,Yes,Not sure,Not sure,"decreased blood supply to the joint, nerve compression near the joint ",Yes,no,no,Yes,no,no,Yes,Yes,Not sure,Not sure,no,Yes,no,no,Not sure,Yes,Yes,no,no,no
310,Yes,female,22,Tubas,university,single,study,no,Yes,Not sure,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Yes
311,Yes,male,27,Tubas,Postgraduate studies (Masters/PhD),single,Personal history,Yes,Yes,Yes,no,Yes,decreased blood supply to the joint,Yes,no,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,no,no,no,no,no,Yes
312,Yes,female,23,Tubas,university,single,study,Yes,Yes,no,Yes,no,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
313,Yes,female,40,Tubas,university,Married,friends/relatives ,Yes,Yes,no,Yes,Yes,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Not sure,Yes,no,Not sure,Not sure,Yes,Not sure,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
314,Yes,female,20,Hebron,university,single,"friends/relatives , healthcare",Yes,Yes,no,Yes,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes
315,Yes,female,19,Hebron,university,single,"friends/relatives , study",no,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,no,no,Yes,Yes,Yes,Not sure,Yes,no,no,Not sure,no,no,Yes,Not sure,Yes
316,Yes,female,21,Hebron,university,single,"study, media, healthcare, others",Yes,Yes,no,Yes,no,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Yes,Yes,Not sure
317,Yes,female,25,Ramallah,university,single,"friends/relatives , study",Yes,Yes,no,no,Not sure,"infection, decreased blood supply to the joint",Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes
318,Yes,female,20,Hebron,university,single,study,no,no,no,Not sure,no,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Not sure,Not sure,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes
319,Yes,female,34,Hebron,university,Married,study,no,no,no,no,Yes,cartilage at the end of the bones wearing down over time,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
320,Yes,male,23,Hebron,university,single,"study, healthcare",Yes,Yes,Not sure,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
321,Yes,female,19,Hebron,university,single,friends/relatives ,Yes,Yes,no,Not sure,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Not sure,no,Not sure,no,Yes,no,Yes,no,Yes,no,Yes,Yes
322,Yes,male,21,Hebron,university,single,study,Yes,Yes,no,Yes,Not sure,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,Not sure,Not sure,Yes,no,Yes,Yes,no,no,Yes,Yes,Yes,no,Yes,Yes
323,Yes,female,19,Hebron,university,single,"friends/relatives , study",Yes,Not sure,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,no,Yes,Yes,Not sure,Yes
324,Yes,female,20,Hebron,university,single,study,no,Yes,Not sure,no,Not sure,"infection, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
325,Yes,male,49,Hebron,university,Married,others,no,no,no,no,no,cartilage at the end of the bones wearing down over time,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,no,no,Yes
326,Yes,female,20,Hebron,university,single,study,no,no,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Yes,no,Yes,Not sure,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes
327,Yes,female,44,Hebron,university,Married,Personal history,Yes,Yes,no,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,no
328,Yes,female,19,Hebron,university,single,healthcare,no,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes,Yes,no,Yes,Yes,Yes,Not sure,Not sure
329,Yes,male,19,Hebron,university,single,"friends/relatives , study, healthcare",Yes,Yes,no,no,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Not sure,no,Not sure,Not sure,no,no,no,Yes,Yes,Yes,no,no,Not sure,Not sure,Not sure,Not sure,Yes,Yes
330,Yes,male,20,Hebron,university,single,Personal history,Yes,Yes,no,Yes,no,cartilage at the end of the bones wearing down over time,Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes
331,Yes,female,20,Hebron,university,single,friends/relatives ,Yes,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,Yes,no,Not sure,no,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
332,Yes,female,20,Hebron,university,single,study,no,Yes,Not sure,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,no,no,Yes,Yes,Yes,Yes
334,Yes,female,21,Hebron,university,single,study,no,Yes,no,Yes,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes
335,Yes,female,20,Hebron,university,Married,study,Yes,Yes,no,Yes,no,infection,no,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes
336,Yes,male,19,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Yes,no,Yes,no,no,no,no,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes
337,Yes,female,20,Hebron,university,single,friends/relatives ,Yes,Not sure,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,no,Yes,Yes,no,no
338,Yes,female,20,Hebron,university,single,"friends/relatives , study, media",no,Yes,no,Yes,Not sure,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Not sure,Yes,no,Yes,Not sure,Yes,no,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Not sure
339,Yes,female,20,Hebron,university,single,media,Yes,Yes,Not sure,Yes,Yes,nerve compression near the joint ,Yes,Not sure,Yes,Not sure,no,no,no,Yes,Yes,Not sure,Not sure,no,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes
340,Yes,female,18,Hebron,university,single,others,no,Yes,no,Not sure,Not sure,"decreased blood supply to the joint, cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,Not sure,Yes,Yes,no,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes
341,Yes,female,20,Hebron,university,single,"friends/relatives , study",Yes,Yes,no,no,Not sure,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,Yes
342,Yes,female,29,Hebron,university,Married,friends/relatives ,Yes,Yes,no,no,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",no,Yes,Yes,no,Yes,no,no,Yes,no,Yes,no,Yes,Not sure,no,Yes,Yes,Yes,Yes,Yes,Yes
343,Yes,female,19,Hebron,university,single,friends/relatives ,no,Yes,no,Yes,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,no,Not sure,Not sure,Yes,Yes,no,no,Yes,no,Not sure,Not sure,no,no,Not sure,Yes,Yes,Yes
